Name,Addr1,Addr2,City,State ,Zip,Phone,URL
Raleigh Ice Plex,2601 Raleigh Blvd,,Raleigh,NC,27604,(919) 878-9002,http://www.iceplex.com
Raleigh Center Ice,912 Hodges St,,Raleigh,NC,27608,(919) 833-6303,http://www.raleighcenterice.com/
Cary Ice House,1410 Buck Jones Rd,,Cary,NC,27511,(919) 460-2756,http://www.icehousecary.com/
Garner Ice House,103 New Rand Rd,,Garner,NC,27529,(919) 861-7465,http://www.icehousegarner.com/
Polar Ice House Wake Forest,1839 S Main St,#200,Waker Forest,NC,27587,(919) 453-1500,http://www.icehousewakeforest.com/
Orange County SportsPlex,101 Meadowlands Dr,,Hillsborough,NC,27278,(919) 644-0339,http://www.oc-sportsplex.com/
Mennen Arena, 161 E Hanover Ave,, morristown, nj,07960, 973-326-7651,http://www.morrisparks.net/aspparks/mennenmain.asp
United Skates of America, 75 New Rd,, Rumford, RI,02916,(401) 438-9898,http://www.unitedskatesri.com/
Dennis Lynch Arena, 25 Andrew D Ferland Way,, Pawtucket, RI,02860,(401) 728-7420,http://www.bvsportscenter.com/
Bay State Arena, 393 Totten Pond Rd, #201, Waltham, MA,02451,(781) 890-8480,http://www.baystateskatingschool.org/pages/home.cfm
Veterans Memorial Rink, 359 Totten Pond Rd,, Waltham, MA,02451,(781) 314-3474,http://www.city.waltham.ma.us/recreation-department/pages/veterans-memorial-skating-rink
Floyd Hall Arena, 28 Clove Rd,,Little Falls,NJ,07424,(973) 746-7744,http://www.floydhallarena.com/
Ice House, 111 Midtown Bridge St,,Hackensack,NJ,07601,(201) 487-8444,http://icehousenj.com/
Dr Pepper Center,4020 W Plano Pkwy,,Plano,TX,75093,(972) 758-7528,http://stars.nhl.com/club/microhome.htm?location=/Dr-Pepper-StarCenter
